 ,Mean1,Mean2,Mean3
1,271,250,328
2,267,247,324
3,267,246,323
4,265,245,322
5,265,245,321
6,264,245,321
7,266,245,322
8,265,246,321
9,264,245,321
10,263,245,321
11,264,246,321
12,263,246,321
13,263,246,320
14,262,246,320
15,262,246,320
16,262,246,321
17,263,246,321
18,262,245,320
19,263,246,321
20,262,245,320
21,262,246,321
22,263,246,321
23,262,245,320
24,262,245,320
25,263,245,320
26,263,245,320
27,263,244,319
28,261,243,319
29,264,243,318
30,265,244,320
31,265,244,320
32,264,244,321
33,288,245,318
34,772,674,818
35,805,727,935
36,782,709,919
37,754,684,887
38,730,665,859
39,707,644,836
40,684,620,815
41,657,594,791
42,629,563,769
43,605,540,760
44,586,527,767
45,575,529,779
46,576,543,778
47,585,563,770
48,598,577,763
49,613,581,763
50,624,573,766
51,630,559,765
52,626,545,758
53,615,535,750
54,606,529,736
55,591,527,725
56,581,528,717
57,573,533,707
58,573,542,699
59,581,544,690
60,586,543,690
61,588,536,694
62,582,523,692
63,573,507,690
64,562,491,694
65,552,479,692
66,545,477,691
67,539,480,684
68,537,489,670
69,537,500,662
70,537,505,662
71,539,502,665
72,538,489,655
73,533,478,641
74,523,471,630
75,516,463,632
76,515,460,636
77,514,464,634
78,517,473,630
79,525,479,626
80,530,482,627
81,536,485,637
82,534,484,649
83,528,483,662
84,522,483,667
85,518,479,659
86,516,470,653
87,517,464,645
88,518,461,643
89,521,466,651
90,523,471,660
91,524,475,658
92,525,470,649
93,526,461,639
94,524,452,631
95,519,450,633
96,512,454,641
97,513,460,647
98,511,464,643
99,507,459,635
100,503,453,635
101,497,446,642
102,497,441,635
103,499,434,614
104,502,433,599
105,506,432,601
106,510,433,613
107,511,435,623
108,508,433,625
109,502,431,626
110,496,428,621
111,490,424,614
112,482,416,607
113,481,415,605
114,476,416,610
115,477,421,618
116,484,425,625
117,485,423,615
118,484,421,602
119,480,417,595
120,478,416,586
121,475,413,585
